merchantpay_dig,account_usage,no_account_insufficient_funds,emergency_fund_source,female,received_public_pension,respondent_id,wages_mobile,survey_weight,account_ownership,mobile_money_activity,received_wages,saved_bank,saved_mobile_money,received_transfers,recieved_wages,made_utility_payment,received_acc_balance_info,store_money_account,agriculture_payment_account,ever_had_mobile_money_account,mobile_money_usage,utility_payment,economycode,no_mobile_account_lack_documentation,any_digital_payment,received_agriculture_payment,no_account_lack_of_trust,no_account_distance,credit_card_ownership,education_level,survey_year,borrowed_from_family_friends,no_account_too_expensive,agricultural_payment_mobile,no_account_documentation,borrowed_from_formal_bank,utility_payment_cash,mobile_money_send_recieve,sent_domestic_remittance_account,no_mobile_agents_far,applied_for_mobile_loan,financial_instituion_account,wages_card,utility_payment_bank,mobile_money_transaction,no_mobile_account_too_expensive,wage_payment_method,no_account_family_member,age,saved_money,recieved_agricultural_payment,borrowed_from_savings_club,borrowed_money,account_ownership,received_goverment_transfer,agri_payment_card,income_quintile,world_bank_region,account_transaction_activity,emergency_fund_access,debit_card_ownership,agri_payment_bank,mobile_money_account,utility_payment_mobile,agri_payment_mobile,financial_health_indicator,ever_had_bank_account,wages_bank_account,employment_status,debit_card_ownership,agriculture_payment_method,adult_population,emergency_funds,high_withdrawal_fee_wages,economy,codes_found,gender,age_group,education_original
0.0,1.0,,3.0,1,2.0,156981272,2.0,0.224080829,1.0,,1.0,1.0,2.0,1.0,1.0,2.0,2.0,,1.0,2.0,,4.0,THA,,1.0,4.0,,,1.0,3.0,2021,2.0,,1.0,,2.0,,,2.0,2.0,2.0,1,,,,2.0,2.0,,27.0,1.0,2.0,,0.0,1,1.0,,Q4,East Asia & Pacific (excluding high income),2.0,3.0,2.0,,1.0,,,,,1.0,1.0,1,,58246340.0,2.0,2.0,Thailand,False,Female,23_29,3.0
1.0,1.0,,3.0,2,2.0,195399987,2.0,0.5261178,2.0,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,2.0,1.0,,4.0,THA,2.0,1.0,4.0,,,1.0,3.0,2021,2.0,,1.0,,2.0,,,2.0,1.0,2.0,1,,,,1.0,2.0,,30.0,1.0,2.0,,0.0,1,1.0,,Q4,East Asia & Pacific (excluding high income),2.0,3.0,1.0,,1.0,,,2.0,,1.0,1.0,1,,58246340.0,2.0,2.0,Thailand,False,Male,30_39,3.0
1.0,1.0,,5.0,1,2.0,181150505,,0.14889143,1.0,3.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,THA,3.0,1.0,4.0,,,1.0,3.0,2021,2.0,,2.0,,1.0,,1.0,2.0,1.0,2.0,1,,2.0,1.0,1.0,,,45.0,1.0,2.0,,1.0,1,1.0,,Q4,East Asia & Pacific (excluding high income),2.0,3.0,,,1.0,1.0,,,,,1.0,2,,58246340.0,4.0,,Thailand,False,Female,40_49,3.0
0.0,1.0,,3.0,1,2.0,190062572,,0.353824578,2.0,,4.0,1.0,2.0,1.0,2.0,2.0,2.0,,1.0,2.0,,4.0,THA,,1.0,4.0,,,1.0,3.0,2021,2.0,,1.0,,2.0,,,2.0,2.0,2.0,1,,,,2.0,,,45.0,1.0,2.0,,0.0,1,1.0,,Q1 Lowest,East Asia & Pacific (excluding high income),2.0,2.0,,,1.0,,,6.0,,,1.0,2,,58246340.0,2.0,,Thailand,False,Female,40_49,3.0
0.0,2.0,,3.0,2,2.0,146919431,,0.138056999,1.0,,4.0,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,,2.0,THA,,1.0,4.0,,,1.0,3.0,2021,2.0,,2.0,,2.0,1.0,,2.0,2.0,2.0,1,,2.0,,2.0,,,39.0,1.0,2.0,,0.0,1,1.0,,Q4,East Asia & Pacific (excluding high income),2.0,3.0,2.0,,0.0,2.0,,,,,1.0,1,,58246340.0,2.0,,Thailand,False,Male,30_39,3.0
1.0,1.0,,3.0,2,2.0,187160212,1.0,2.193631879,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,THA,1.0,1.0,4.0,,,1.0,2.0,2021,2.0,,1.0,,1.0,,1.0,1.0,1.0,2.0,1,,1.0,1.0,1.0,2.0,,26.0,1.0,2.0,,1.0,1,1.0,,Q5 Highest,East Asia & Pacific (excluding high income),1.0,3.0,,,1.0,1.0,,,,1.0,1.0,2,,58246340.0,1.0,1.0,Thailand,False,Male,23_29,2.0
1.0,1.0,,1.0,2,2.0,124034566,1.0,2.320584425,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,2.0,,2.0,THA,3.0,1.0,1.0,,,1.0,1.0,2021,1.0,,1.0,,2.0,1.0,,1.0,2.0,2.0,1,,2.0,,1.0,2.0,,32.0,1.0,1.0,,1.0,1,1.0,,Q1 Lowest,East Asia & Pacific (excluding high income),2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,,2.0,1.0,1,,58246340.0,5.0,2.0,Thailand,False,Male,30_39,1.0
1.0,1.0,,3.0,2,2.0,199028113,2.0,0.377784145,1.0,,1.0,1.0,2.0,4.0,1.0,2.0,1.0,,,1.0,,4.0,THA,3.0,1.0,4.0,,,1.0,3.0,2021,2.0,,,,2.0,,,2.0,1.0,2.0,1,,,,1.0,2.0,,46.0,1.0,2.0,,0.0,1,2.0,,Q5 Highest,East Asia & Pacific (excluding high income),2.0,3.0,2.0,,0.0,,,,,1.0,1.0,1,,58246340.0,1.0,2.0,Thailand,False,Male,40_49,3.0
0.0,,2.0,5.0,2,2.0,121307534,1.0,1.251779298,,,1.0,1.0,2.0,1.0,1.0,2.0,,,2.0,1.0,,4.0,THA,,1.0,4.0,2.0,2.0,,2.0,2021,2.0,2.0,1.0,2.0,2.0,,,1.0,1.0,2.0,0,,,,2.0,1.0,2.0,57.0,1.0,2.0,,0.0,1,1.0,,Q3,East Asia & Pacific (excluding high income),,3.0,,,1.0,,,1.0,,2.0,1.0,2,,58246340.0,2.0,2.0,Thailand,False,Male,50_59,2.0
1.0,1.0,,3.0,1,2.0,184101152,2.0,0.302764356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,THA,1.0,1.0,4.0,,,1.0,2.0,2021,2.0,,2.0,,2.0,,1.0,2.0,1.0,2.0,1,,,1.0,1.0,2.0,,25.0,1.0,2.0,2.0,0.0,1,1.0,,Q4,East Asia & Pacific (excluding high income),1.0,3.0,2.0,,1.0,,,,,1.0,1.0,1,,58246340.0,2.0,3.0,Thailand,False,Female,23_29,2.0
