,any_digital_payment,applied_for_mobile_loan,no_mobile_account_too_expensive,world_bank_region,saved_bank,made_utility_payment,saved_money,received_public_pension,recieved_agricultural_payment,emergency_fund_access,mobile_money_transaction,account_ownership,agri_payment_mobile,no_account_documentation,agri_payment_bank,no_account_too_expensive,account_usage,age,survey_year,no_account_insufficient_funds,respondent_id,financial_instituion_account,no_account_family_member,adult_population,store_money_account,agriculture_payment_method,education_level,emergency_funds,received_acc_balance_info,high_withdrawal_fee_wages,survey_weight,borrowed_from_family_friends,debit_card_ownership,income_quintile,wages_card,sent_domestic_remittance_account,account_ownership,employment_status,no_account_lack_of_trust,wages_mobile,ever_had_mobile_money_account,economy,account_transaction_activity,debit_card_ownership,no_account_distance,ever_had_bank_account,financial_health_indicator,agri_payment_card,mobile_money_usage,received_wages,wage_payment_method,merchantpay_dig,borrowed_money,no_mobile_account_lack_documentation,saved_mobile_money,utility_payment_cash,received_goverment_transfer,utility_payment_bank,borrowed_from_savings_club,emergency_fund_source,mobile_money_activity,mobile_money_account,agricultural_payment_mobile,wages_bank_account,economycode,received_agriculture_payment,utility_payment,recieved_wages,received_transfers,credit_card_ownership,borrowed_from_formal_bank,female,agriculture_payment_account,no_mobile_agents_far,mobile_money_send_recieve,utility_payment_mobile,codes_found,gender,age_group
0,1.0,2.0,2.0,East Asia & Pacific (excluding high income),1.0,2.0,1.0,2.0,2.0,3.0,,1,,,,,1.0,27.0,2021,,156981272,1,,58246340.0,,,3.0,2.0,2.0,2.0,0.224080829,2.0,2.0,Q4,,2.0,1.0,1.0,,2.0,2.0,Thailand,2.0,1,,,,,,1.0,2.0,0.0,0.0,,2.0,,1.0,,,3.0,,1.0,1.0,1.0,THA,4.0,4.0,1.0,1.0,1.0,2.0,1,1.0,2.0,,,False,Female,23_29
1,1.0,2.0,1.0,East Asia & Pacific (excluding high income),1.0,2.0,1.0,2.0,2.0,3.0,,1,,,,,1.0,30.0,2021,,195399987,1,,58246340.0,,,3.0,2.0,1.0,2.0,0.5261178,2.0,1.0,Q4,,2.0,2.0,1.0,,2.0,1.0,Thailand,2.0,1,,,2.0,,,1.0,2.0,1.0,0.0,2.0,2.0,,1.0,,,3.0,,1.0,1.0,1.0,THA,4.0,4.0,1.0,1.0,1.0,2.0,2,2.0,1.0,,,False,Male,30_39
2,1.0,2.0,1.0,East Asia & Pacific (excluding high income),1.0,1.0,1.0,2.0,2.0,3.0,1.0,1,,,,,1.0,45.0,2021,,181150505,1,,58246340.0,,,3.0,4.0,1.0,,0.14889143,2.0,,Q4,,2.0,1.0,1.0,,,2.0,Thailand,2.0,2,,,,,1.0,4.0,,1.0,1.0,3.0,2.0,,1.0,2.0,,5.0,3.0,1.0,2.0,,THA,4.0,1.0,2.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,False,Female,40_49
3,1.0,2.0,2.0,East Asia & Pacific (excluding high income),1.0,2.0,1.0,2.0,2.0,2.0,,1,,,,,1.0,45.0,2021,,190062572,1,,58246340.0,,,3.0,2.0,2.0,,0.353824578,2.0,,Q1 Lowest,,2.0,2.0,1.0,,,2.0,Thailand,2.0,2,,,6.0,,,4.0,,0.0,0.0,,2.0,,1.0,,,3.0,,1.0,1.0,,THA,4.0,4.0,2.0,1.0,1.0,2.0,1,1.0,2.0,,,False,Female,40_49
4,1.0,2.0,2.0,East Asia & Pacific (excluding high income),1.0,1.0,1.0,2.0,2.0,3.0,,1,,,,,2.0,39.0,2021,,146919431,1,,58246340.0,,,3.0,2.0,1.0,,0.138056999,2.0,2.0,Q4,,2.0,1.0,1.0,,,1.0,Thailand,2.0,1,,,,,,4.0,,0.0,0.0,,2.0,1.0,1.0,2.0,,3.0,,0.0,2.0,,THA,4.0,2.0,2.0,1.0,1.0,2.0,2,1.0,2.0,,2.0,False,Male,30_39
5,1.0,2.0,1.0,East Asia & Pacific (excluding high income),1.0,1.0,1.0,2.0,2.0,3.0,1.0,1,,,,,1.0,26.0,2021,,187160212,1,,58246340.0,1.0,,2.0,1.0,1.0,1.0,2.193631879,2.0,,Q5 Highest,,1.0,1.0,1.0,,1.0,1.0,Thailand,1.0,2,,,,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,,3.0,1.0,1.0,1.0,1.0,THA,4.0,1.0,1.0,1.0,1.0,1.0,2,2.0,1.0,1.0,1.0,False,Male,23_29
6,1.0,2.0,1.0,East Asia & Pacific (excluding high income),1.0,1.0,1.0,2.0,1.0,2.0,,1,1.0,,2.0,,1.0,32.0,2021,,124034566,1,,58246340.0,,,1.0,5.0,1.0,2.0,2.320584425,1.0,2.0,Q1 Lowest,,1.0,1.0,1.0,,1.0,2.0,Thailand,2.0,1,,,2.0,,,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,,1.0,,1.0,1.0,2.0,THA,1.0,2.0,1.0,1.0,1.0,2.0,2,1.0,2.0,,2.0,False,Male,30_39
7,1.0,2.0,1.0,East Asia & Pacific (excluding high income),1.0,2.0,1.0,2.0,2.0,3.0,,1,,,,,1.0,46.0,2021,,199028113,1,,58246340.0,,,3.0,1.0,1.0,2.0,0.377784145,2.0,2.0,Q5 Highest,,2.0,1.0,1.0,,2.0,1.0,Thailand,2.0,1,,,,,,1.0,2.0,1.0,0.0,3.0,2.0,,2.0,,,3.0,,0.0,,1.0,THA,4.0,4.0,1.0,4.0,1.0,2.0,2,,1.0,,,False,Male,40_49
8,1.0,2.0,2.0,East Asia & Pacific (excluding high income),1.0,2.0,1.0,2.0,2.0,3.0,,1,,2.0,,2.0,,57.0,2021,2.0,121307534,0,2.0,58246340.0,,,2.0,2.0,,2.0,1.251779298,2.0,,Q3,,1.0,,1.0,2.0,1.0,1.0,Thailand,,2,2.0,,1.0,,,1.0,1.0,0.0,0.0,,2.0,,1.0,,,5.0,,1.0,1.0,2.0,THA,4.0,4.0,1.0,1.0,,2.0,2,2.0,1.0,,,False,Male,50_59
9,1.0,2.0,1.0,East Asia & Pacific (excluding high income),1.0,2.0,1.0,2.0,2.0,3.0,1.0,1,,,,,1.0,25.0,2021,,184101152,1,,58246340.0,2.0,,2.0,2.0,1.0,3.0,0.302764356,2.0,2.0,Q4,,2.0,1.0,1.0,,2.0,1.0,Thailand,1.0,1,,,,,2.0,1.0,2.0,1.0,0.0,1.0,1.0,,1.0,,2.0,3.0,1.0,1.0,2.0,1.0,THA,4.0,4.0,1.0,1.0,1.0,2.0,1,1.0,1.0,1.0,,False,Female,23_29
